name,botanical_name,family,synonyms,english_name,useful_parts,indications,shloka,source_document,images
"Khandu chakka","Ethretia Laevis Roxb","Boraginaceae","[]",,"[""leaves"",""bark and roots""]","[""Antibacterial and antifungal – Traditionally used to treat skin infections and wounds."",""Anti-inflammatory – Used in Ayurvedic medicine to reduce swelling and pain."",""Digestive aid – Some parts (like bark extracts) are believed to help in digestive issues."",""Liver protection – Traditional use includes formulations believed to support liver health.""]","अजनवृक्षस्य छायायां विश्रान्तिः सुखदा नृणाम्। स्थैर्यं दीर्घायुषश्चैव वन्द्यः स वृक्षराजवत्॥","35. khandu chakka.docx","[""35__khandu_chakka_1.jpg"",""35__khandu_chakka_2.jpg"",""35__khandu_chakka_3.jpg""]"
"SHYONAK","Oroxylum indicum ( L. ) Kurz.","Bignoneaceae","[""Sonapatha"",""Sona"",""Shona"",""Addi"",""Pampini""]",,"[""Leaves"",""Root"",""Seeds"",""Bark"",""Fruit""]","[""Inflammatory conditions, Arthritis, Cough, Skin disorders, Fever""]","श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः । मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ॥ दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः । श्योनाको दीपनः पाके कटुकस्तुवरो हिमः । ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ॥ (भा.प्र.)","67. Shonyak.docx","[""67__Shonyak_1.jpg"",""67__Shonyak_2.jpg"",""67__Shonyak_3.jpg"",""67__Shonyak_4.jpg"",""67__Shonyak_5.jpg"",""67__Shonyak_6.jpg""]"
"SHLESHMANTAK","Cordia dichotoma Forst.","Boraginaceae","[""Lasoda"",""Dela"",""Tenti"",""Gunda""]",,"[""Leaves"",""flowers"",""fruits"",""bark"",""and roots""]","[""Fever, Cough, Bronchitis, Asthma, Skin diseases, Wounds, Inflammation""]","श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः । मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ॥ दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः । श्योनाको दीपनः पाके कटुकस्तुवरो हिमः । ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ॥ ( भा. प्र. )","66. Shleshmantaka.docx","[""66__Shleshmantaka_1.jpg"",""66__Shleshmantaka_2.jpg"",""66__Shleshmantaka_3.jpg"",""66__Shleshmantaka_4.jpg"",""66__Shleshmantaka_5.jpg"",""66__Shleshmantaka_6.jpg""]"
"KAILASHPATI","Couroupita guianensis Abul.","Lecythideceae","[""Lingvruksham"",""Nagalingavruksh English – Cannon Ball Tree""]",,"[""Leaves"",""Flowers"",""Fruits"",""Bark""]","[""Hypertension, Tumor, Pain, Inflammatory reactions, Skin diseases, Malerial Fever""]",,"29. Kailashpati.docx","[""29__Kailashpati_1.jpg"",""29__Kailashpati_2.jpg"",""29__Kailashpati_3.jpg"",""29__Kailashpati_4.jpg"",""29__Kailashpati_5.jpg"",""29__Kailashpati_6.jpg"",""29__Kailashpati_7.jpg""]"
"JYOTISHMATI","Celastrus paniculatus Linn.","Celastraceae","[""Jyotishmati"",""Katabhi"",""Jyotishka"",""Surasa"",""Somavallika"",""Paravatpadi"",""Malkangani English – Black Oil Plant"",""Intellect Tree"",""Climbing Staff Tree""]",,"[""Leaves"",""Root"",""Seeds""]","[""Neurological disorder, Dementia, Loss of memory, Mental disorders, Rheumatism and Arthritis , Indigestion and Constipation, Skin diseases""]","ज्योतिष्मती कटुस्तिक्ता सरा कफसमीरजित् । अत्युष्णा वामनी तीक्ष्णा वह्निबुद्धिमतिप्रदा ।। (भा.प्र.)","27. Jyotishmati.docx","[""27__Jyotishmati_1.jpg"",""27__Jyotishmati_2.jpg"",""27__Jyotishmati_3.jpg"",""27__Jyotishmati_4.jpg"",""27__Jyotishmati_5.jpg"",""27__Jyotishmati_6.jpg""]"
"VARUN","Crataeva nurvala Buch.Ham","Crappradaceae","[""Tiktashak"",""Padap"",""Bilvpatra"",""Bahupushpa"",""Kumarak"",""Setuvruksha""]",,"[""Bark"",""Roots"",""Leaves""]","[""Diuretic, Anti-lithiatic, Anti-inflammatory , Laxative""]","वरुणो वरणः सेतुस्तिक्तशाकः कुमारकः । वरुणःपित्तलो भेदीश्लेष्मकृच्छ्राश्ममारुतान्॥ निहन्ति गुल्मवातास्त्रकृर्मीश्चोष्णोऽग्निदीपनः । कषायो मधुरस्तिक्तः कटुकोरूक्षको लघुः ॥ ( भा. प्र. )","74. Varun.docx","[""74__Varun_1.jpg"",""74__Varun_2.jpg"",""74__Varun_3.jpg""]"
"Kupilu","Strychnos nuxvomica Linn","Loganiaceae","[""Vishatinduka"",""Kakatinduka"",""Kakapiluka"",""Garadruma"",""and Karaskara English – Nux-Vomica"",""poison Nut""]",,"[""seeds""]","[""POISINOUS DRUG"",""It is used in loss of appetite, gastric inflammation, amadosha, colitis, piles and parasitic infection. It is the best medicine for gastric laxity and spasm""]","विषमुष्टिर्विषप्रायाः कटुका तिक्तका लघुः। उष्णा तीक्ष्णा च रोचिष्णु: कृमिघ्नी वातनाशिनी॥ भा. प्र.","38. Kupilu.docx","[""38__Kupilu_1.jpg"",""38__Kupilu_2.png"",""38__Kupilu_3.jpg"",""38__Kupilu_4.jpg""]"
"JAMBU","Syzygium Cumini Linn.","Myrtaceae","[""Mahaphala"",""Phalendra"",""Surbhipatra"",""Mahaskandha English – Black Plum""]",,"[""Fruit"",""Seed"",""Leaves"",""Stem bark.""]","[""Diabetes, Tooth and Gum diseases, Diarrhea""]","फलेन्द्रा कथिता नन्दी राजजम्बूर्महाफला । तथा सुरभिपत्रा च महाजम्बूरपि स्मृता । राजजम्बूफलं स्वादु विष्टम्भि गुरु रोचनम् ॥ ( भा. प्र. )","25. Jambu.docx","[""25__Jambu_1.jpg"",""25__Jambu_2.jpg"",""25__Jambu_3.jpg""]"
"Saptachakra","Salacia reticulate","Celastraceae","[""Swarnamula"",""Pitika"",""Saptasuta"",""Saptrangi""]",,"[""Root and Root Bark""]","[""Prameha (Diabetes mellitus)"",""Medoroga (Obesity)"",""Kushtha (Skin diseases)"",""Shotha (Inflammation)"",""Krimi (Helminthiasis/worm infestation)""]","“सप्तचक्रं सरं तिक्तं कषायं दीपनं लघु | कुष्ठमेहहरं रुच्यं श्लेष्मकृमिविनाशनम् ||” (BP)","63. Saptachakra.docx","[""63__Saptachakra_1.jpg"",""63__Saptachakra_2.jpg""]"
"HARITAKI","Terminalia chebula Ritz.","Combratceae","[""Abhaya"",""Pathya"",""Harad English – Chebulic Myrobelan""]",,"[""Fruit rind""]","[""Constipation, Anorexia, Indigestion, Blood disorders, Skin disorders, Respiratory issues including bronchial asthma, Inflammatory conditions, Aging""]","हरीतकी पञ्चरसाऽलवणा तुवरा परम् । रूक्षोष्णा दीपनी मेध्या स्वादुपाका रसायनी ॥ चक्षुष्या लघुरायुष्या बृंहणी चानुलोमिनी । श्वासकासप्रमेहार्शः कुष्ठशोथोदरक्रिमीन् ॥ वैस्वर्यग्रहणीरोगविबन्धविषमज्वरान् । गुल्माध्मानतृषाछर्दिहिक्काकण्डूहृदामयान् ॥ कामलां शूलमानाहं प्लीहानञ्च यकृत्तथा । ( भा. प्र. )","24. Haritaki (1).docx","[""24__Haritaki__1__1.jpg"",""24__Haritaki__1__2.jpg"",""24__Haritaki__1__3.jpg"",""24__Haritaki__1__4.jpg""]"
"KUSHTHAKULINJAN","Alpinia galangal Wild.","Zingiberaceae","[""Kulinjan""]",,"[""Rhizome""]","[""Asthma, Chronic respiratory disorder, Cough, Common cold, Constipation, Bloating, Paralysis, Neuralgia""]","सुगन्धाऽप्युग्रगन्धाच विशेषात्कफकासनुत् । सुस्वरत्वकरी रुच्या हृत्कण्ठमुखशोधिनी ॥ ( भा. प्र. )","39. Kusthakulinjan.docx","[""39__Kusthakulinjan_1.jpg"",""39__Kusthakulinjan_2.jpg"",""39__Kusthakulinjan_3.jpg""]"
"VIDANGA","- Embelia robusta A.DC","- Primulaceae","[""Jantuhanana"",""Krimighna"",""Bhutagni"",""Tandula"",""Ghosa"",""Karala and Mrgagamini""]",,"[""1)Fruits/Berries: 2)Seeds: 3)Root and Bark:""]","[""krimiroga, Aruchi, Agnimandya, Kustha , prameha, Ama janya vyadi , Udar roga , Jwara, kandu , Meda roga""]","विडङ्गः कृमिनाशश्च दीपनो ग्राही कषायवा   कृमिकार्मुकमत्यर्थं लघु तीक्ष्णं कषायकम   कटु तिक्तोष्णवीर्यश्च पाचनो मेदनाश न वम्यतीसारकासांश्च कृमीन् हन्ति विशेषतः॥","78. Vidanga.docx","[""78__Vidanga_1.jpg"",""78__Vidanga_2.jpg"",""78__Vidanga_3.jpg""]"
"SINDURI","Bixa orellana Linn.","Bixaceae","[""Raktabija"",""Raktapushpa"",""Sukomal"",""Virpushpa""]",,"[""Whole Plant""]","[""Vomiting, polydipsia, Fever, Jaundice, Headaches""]","सिन्दूरी रक्तबीजा च रक्तपुष्पा सुकोमला । सिन्दूरी विषषित्तास्त्रतृष्णावान्तिहरी हिमा ॥ ( भा. प्र. )","68. Sinduri.docx","[""68__Sinduri_1.jpg"",""68__Sinduri_2.jpg"",""68__Sinduri_3.jpg"",""68__Sinduri_4.jpg"",""68__Sinduri_5.jpg"",""68__Sinduri_6.jpg""]"
"KARVEER","Nerium indicum","Apocynaceae.","[""Kaner"",""karber"",""karu vira"",""Asvamaraka"",""Hayamara"",""Hayamaraka Chandataka"",""Pratihara""]",,"[""Mula and patra""]","[""1.Acharya Charak= has mentioned in kushtha roga(skin disease).It is one of the kushthaghna dravya i.e allievates various skin disorders."",""2.Acharya Sushruta =ashmari,Updansh (gonorrohea), Bhagandara (fistula) and different types of skin disorders."",""3. Aacharya Vagbhata= also indicated it in the treatment of skin diseases as Kikkis (Striae gravidarum) and Indralupta (hair loss). Fine paste of Dugdhika (Euphorbia thymifolia) and Karveera made with milk is Applied to scalp to cure Palitya (whitening of hair).""]","करवीरः श्वेतपुष्पः शतकुम्भोऽश्वमारकः । द्वितीयो रक्तपुष्पश्च चण्डातो लगुडस्तथा॥ ८२॥ करवीरद्वयं तिक्तं कषायं कटुकञ्च तत् । ज्ञणलाघवकृन्नेत्र कोपकुष्ठवगापहम् ॥ ८३ ॥ वीर्योष्णं कृमिकण्डानं अचितं विषवत्सतम् ॥ ८४ ॥","32. karveer.docx","[""32__karveer_1.jpg"",""32__karveer_2.jpg"",""32__karveer_3.jpg"",""32__karveer_4.jpg""]"
"KADAMB","- Neolamarckia cadamba (Roxb).","- Rubiaceae","[""kadam"",""cadamba"",""nipa"",""priyak"",""vrtta-pushpa"",""and halipriya. burflower tree"",""laran"",""Leichhardt pine.""]",,"[""Bark"",""leaves"",""Flowers"",""Fruit"",""Wood.""]","[""fever, Diarrhea and Dysentery, Wound  Healing, Headache, Skin Diseases, Liver Disorders, Toothache, Anti-inflammatory and Pain Relief .""]","कदम्बस्तुवरस्तिक्तः कटुको ग्राहि शीतलः। गुरुः पित्तास्रकृच्छ्रघ्नः प्रमेहकफनाशनः॥    (भा.प्र.)","28. kadamb.docx","[""28__kadamb_1.jpg"",""28__kadamb_2.jpg"",""28__kadamb_3.jpg"",""28__kadamb_4.jpg""]"
"कंपिल्लक (कम्पिल्लक)","Mallotus philipinensis Muell.","एरण्डकुल. (Euphorbiaceae)","[""कंपिल्लका"",""रक्तांग"",""रेचन""]",,"[""फलरज""]","[""पाया,कंडू, कुष्ठ, कृमी यांमध्ये बाह्य व आभ्यंतर उपयोगासाठी."",""गर्भनिरोधक म्हणूनही उपयोग."",""Indications (Research updates)-anti-bacterial, anti-fungal, anti-filarial, antimicrobial,Anti-inflammatory activity, antioxidant, antiradical, anti-fertility, protein inhibition, hepatoprotective, antiallergic, anti-HIV activity, anti-cancer, chemoprotective, anti-tuberculosis, anti-leukaemia, anti-allergic, anti-tumour and wound healing activities.""]","कम्पिलः कफपित्तास्रकृमिगुल्मोदरव्रणान् | हन्ति रेची कटूष्णाश्च मेहानाहविषाश्मनुत् ।। भा. प्र.","30. kappillak.docx","[""30__kappillak_1.jpg"",""30__kappillak_2.jpg"",""30__kappillak_3.jpg"",""30__kappillak_4.jpg"",""30__kappillak_5.png""]"
"Falgu","Ficus carica L.","Moraceae","[""Kakodumbari"",""Kashtodumbara"",""Malyu"",""Malapu"",""Udumbari""]",,"[""Fruit""]","[""Anemia , Cancer , Diabetes , Leprosy , Liver diseases.""]","मलपूः स्तम्भकृत्तिक्ता शीतला तुवरा जयेत् । कफपित्तव्रणश्चित्रकुष्ठपाण्ड्वर्शकामलाः || भा.प्र","21. Falgu.docx","[""21__Falgu_1.png""]"
"Gandha Prasarini","Paederia foetida","- Rubiaceae","[""Sarani"",""Prasarini"",""Gandha Mula"",""Sugandha Prasarini"",""Rajabala"",""Bhadraparni""]",,"[""Leaves (patra) Roots (mula) Whole plant (sarvanga )""]","[""Vata Vyadhi (neuromuscular  disorders)"",""Rheumatoid arthritis"",""Sciatica"",""Joint pain"",""Paralysis"",""Spondylitis""]","प्रसारणी राजबला भद्रपर्णी प्रतापनी | सरणी सारणी भद्रा बला चापि कटम्भरा ||२०१|| प्रसारिणी गुरुर्वृष्या बलसन्धानकृत्सरा | वीर्योष्णा वातहृत्तिक्ता वातरक्तकफापहा ||२०२|| ( भावप्रकाश-पूर्वखण्ड-मिश्रप्रकरण – ४. गुडूच्यादिवर्ग)","22. Gandha Prasarini.docx","[""22__Gandha_Prasarini_1.jpg"",""22__Gandha_Prasarini_2.jpg"",""22__Gandha_Prasarini_3.jpg""]"
"KOSHAMRA","Schleichera oleosa (Lour.) Oken","Sapindaceae","[""Koshaamra"",""Kshudraamra"",""Lakshaa vrksha"",""Ghanaskandha English – Ceylon Tree""]",,"[""Leaves"",""Seed"",""Oil"",""Bark""]","[""Blood impurities, Blood disorders, Headache, Skin disorders, Worms, Hair fall, Alopecia, Boils, Itch and acne, Ulcers, Abscess, Rheumatism, Malaria, Ear disorders, Loss of appetite.""]","कोशाम्र उक्तः क्षुद्राम्रः कृमिवृक्षः सुकोशकः । कोशाम्रः कुष्ठशोथास्त्रपित्तत्रव्रणकफापहः ॥ तत्फलं ग्राहि वातघ्नमम्लोष्णं गुरु पित्तलम् । पक्वन्तु दीपनं रुच्यं लघूष्णं कफवातनुत् ॥ (भा.प्र.)","37. Koshamra.docx","[""37__Koshamra_1.jpg"",""37__Koshamra_2.jpg"",""37__Koshamra_3.jpg"",""37__Koshamra_4.jpg"",""37__Koshamra_5.jpg"",""37__Koshamra_6.png""]"
"KATAK","Strychnos potatorum","Loganiaceae","[""Nirmali"",""kataka"",""Ambuprasadan"",""Tiktaphala"",""Chakshushya""]",,"[""Seed"",""Root"",""Unriped fruits""]","[""Eye disorders, Digestive problem, Heal abscesses,"",""Skin disorder, Acidity, Gastritis, Gulma, Eczema, Diabetes mellitus,"",""Jaundice, Anaemia, Poisoning cases""]",,"33. KATAK.docx","[""33__KATAK_1.jpg"",""33__KATAK_2.jpg"",""33__KATAK_3.jpg"",""33__KATAK_4.jpg"",""33__KATAK_5.jpg""]"
"USHIR","Vetiveria zizaniodis Linn.","Gramineae","[""Bahumulak"",""Gandhaadhya"",""Nalad"",""Sevya"",""Amrunaal"",""Samgandhak"",""Virtar""]",,"[""Roots""]","[""Fever, Burning sensation in body, Burning micturition, Epistaxis, Headaches""]","वीरणस्य तु मूलं स्यादुशीरं नलदञ्च तत् । अमृणालञ्च सेव्यञ्च   समगन्धिकमित्यपि ॥ उशीरं पाचनं शीतं स्तम्भनं लघु तिक्तकम् ॥ मधुरंज्वरहृद्वान्तिमदनुत्कफपित्तहृत्। तृष्णाऽस्त्रविषवीसर्पदाहकृच्छ्रव्रणापहम् ॥ ( भा. प्र. )","72. Ushir.docx","[""72__Ushir_1.jpg"",""72__Ushir_2.jpg""]"
"SITAPHALA","Annona squamosa Linn.","Annonaceae","[""Gandagaatra"",""Sitaa phala English – Custard Apple"",""Sugar Apple"",""Sweet-sop.""]",,"[""Bark"",""leaf"",""fruit""]","[""Daha"",""Fever, skin disease, cough, piles, leucorrhoea, vomiting, dysentery, gout, burning sensation, dyspepsia, cephalgia, worm infection""]","“सीताफलम् मधुरं स्निग्धं गुरु वातकफापहम्। बल्यं वृष्यं रसायनं हृद्यं तृप्तिकरं स्मृतम् ॥”","69. Sitaphal.docx","[""69__Sitaphal_1.jpg"",""69__Sitaphal_2.jpg"",""69__Sitaphal_3.jpg"",""69__Sitaphal_4.jpg""]"
"Ketaki","Pandanus odorotissimus Linn.","Pandanaceae","[""Soochi pushpa"",""Trakachada"",""Sugandha"",""Karatruna"",""English – Screw pine""]",,"[""Root"",""Flower""]","[""External application to treat joint pain and headache, general debility, blood borne disorders, Aphrodisiac, loss of appetite, indigestion and constipation, palpitation. female infertility.""]","केतक: सूचिका पुष्प जम्बुक क्रकच्छद: सुवर्णकेतकी त्वन्या लघुपुष्पा सुगन्धिनी केतक: कटुक: स्वादु: लघु: तिक्त कफापह: उष्णा तिक्तरसा ज्ञेया चक्षुष्या हेमकेतकी ||   (भा. प्र.)","34. ketaki.docx","[""34__ketaki_1.jpg"",""34__ketaki_2.jpg"",""34__ketaki_3.jpg""]"
"TUTI","Morus indica Linn.","Moraecae","[""Tuti"",""Tutari"",""Shahtoat"",""Tula"",""Kramuk"",""Bramhadaru""]",,"[""Fruits"",""Leaves""]","[""Diabetes, Hyper lipidemia, Arthritis, Inflammatory conditions, Anaemia, Skin disorders, Neurological disorders, Alzheimer’s disease, Dizziness and Insomnia""]","तूतस्तूलश्च पूगश्च क्रमुको ब्रह्मदारु च । तूतं पक्वं गुरु स्वादु हिमं पित्तानिलापहम् ॥ तदेवामं गुरु सरमम्लोष्णं रक्तपित्तकृत् ॥ ( भा. प्र. )","70. Tuti.docx","[]"
"Vasa","Adhatoda vasica Nees, Justicia adhatoda","Acanthaceae","[""Vasika"",""vaajidanta"",""sinha"",""aatrushak"",""panchmukhi"",""sinhaparna"",""adulsa.""]",,"[""Mula"",""Patra"",""Pushpa""]","[""Urdhwa raktapitta, kshay, kasa, shwasa.""]","वासको वातकृत्स्वर्यः कफपित्तास्रनाशनः । तिक्तस्तुवरको हृद्यो लघु शीतस्तृडर्तिकृत् । श्वासकासज्वरच्छर्दि मेहकुष्ठक्षयापहः ।। भा. प्र.","76. Vasa.docx","[""76__Vasa_1.jpg"",""76__Vasa_2.jpg""]"
"RUDRAKSH","Elaeocarpus ganitrus roxb.","Elaeocarpaceae","[]",,"[""Beej (Seed)- most commonly used Leaves and bark (less commonly used in some formulations)""]","[""Manoroga (mental disorders)- calms mind Hridaya vikara – strengths heart Daivyapashraya chikitsa – used as spritiual and protective remedy Hypertension-balances stress and lowers BP Anidra( Insomnia) – promote good sleep Tridosha hara balances vata"",""pitta"",""kapha""]","“रुद्राक्षं तीक्ष्णोष्णं कफवातहरं परम्। शिरोरोगमनोदोष नाशयेदतिदारुणम् ॥“","61. rudraksh.docx","[""61__rudraksh_1.jpg"",""61__rudraksh_2.jpg"",""61__rudraksh_3.jpg""]"
"JAPA","Hibiscus rosa-sinensis","Malvaceae","[""Sanskrit: Japa"",""Aruna"",""Japakusuma"",""Rudhira"",""Yashasvini Hindi: Gudhal Marathi: Jas vand.""]","China Rose / Shoe Flower","[""Flowers Leaves Root Bark""]","[""Keshya (Promotes hair growth) Used in hair oils to prevent hair fall"",""promote hair growth"",""and prevent premature greying. Shotha (Inflammation) Leaves are used as a poultice in local swelling and inflammation. Tvagvikara (Skin disorders) Used in various skin conditions like acne"",""boils"",""eczema due to its anti-inflammatory and cooling nature.""]","जपा यशस्विनी रक्त पुष्पा गुडतुल्यरसा। वातपित्तहरा श्लेष्मा शोथकुष्ठास्रनाशिनी॥","26. Japa.docx","[""26__Japa_1.jpg"",""26__Japa_2.jpg"",""26__Japa_3.jpg""]"
"VRUDDHADARUK","Argyreia speciosa  ( Linn. f. ) Sweet","Convolvulaceae","[""Trikonakanda"",""Hasthi valli"",""Samudra patra"",""Ajaantri"",""Mahashyma"",""Vallari"",""Samudrashosh"",""Elephant Creeper""]",,"[""Roots"",""Seeds"",""Leaves""]","[""Rheumatoid arthritis, General debility, Leucorrhea, Oligospermia, Diabetes, Wounds, Cuts, Swelling, Gangrene""]","वृद्धदारुक आवेगी छागान्त्री वृष्यगन्धिका । वृद्धद्वारुः कषायोष्णः कटुस्तिक्तो रसायनः ॥ वृष्यो वातामवातार्शः शोथमेहकफप्रणुत् । शुक्रायुर्बलमेधाऽग्निस्वरकान्तिकरः सरः ॥ ( भा. प्र. )","79. Vrudhadaru.docx","[""79__Vrudhadaru_1.jpg"",""79__Vrudhadaru_2.jpg"",""79__Vrudhadaru_3.jpg"",""79__Vrudhadaru_4.jpg"",""79__Vrudhadaru_5.jpg""]"
"VATA","Ficus bengalensis Linn.","Moraceae","[""Raktaphala"",""Shrungi"",""Naghrodh"",""Bahupaad"",""Kshri"",""Vaishravan""]",,"[""Bark"",""Leaf"",""Axillary roots"",""Ksheera"",""Fruits""]","[""Dirrhoea, Dysentry, Wounds, Bleeding disorders,     Rheumatic arthritis, Conjunctivitis, Dental issues, Mouth   ulcers, Leucorrhoea, Infertility""]","वटो रक्तफलः शृङ्गी न्यग्रोधः स्कन्धजो ध्रुवः । क्षीरी वैश्रवणो वासो बहुपादो वनस्पतिः ॥ वटः शीतो गुरुर्ग्रही कफपित्तव्रणापहः । वर्यो विसर्पदाहघ्नः कषायो योनिदोषहृत् ॥(भा. प्र.)","77. Vata.docx","[""77__Vata_1.jpg"",""77__Vata_2.jpg"",""77__Vata_3.jpg"",""77__Vata_4.jpg"",""77__Vata_5.jpg""]"
"MADANPHAL","Randia dumetorum.","Rubiaceae","[""madan"",""chardan"",""pindi"",""shalyak"",""nat"",""dharafal. English – Emetic nut""]",,"[""Fruit"",""Seed""]","[""Used as Vamana Dravya, Skin Disease, poisoning,And also used in indigestion and Edema""]","मदनो मधुरस्तिक्तो वीर्येष्णो लेखनो लघुः । वान्तिकृद्विद्रधिहरः प्रतिश्यायव्रणान्तकः । रूक्षः कुष्ठकफानाहशोथगुल्मव्रणापहः ।। भा. प्र.","40. MADANFAL.docx","[""40__MADANFAL_1.png"",""40__MADANFAL_2.png"",""40__MADANFAL_3.png"",""40__MADANFAL_4.png"",""40__MADANFAL_5.png""]"
"VACHA","Acorus calamus Linn.","Araceae","[""Ugragandha"",""Shadagrantha"",""Golomi"",""Shatparvika"",""Kshudrapatra"",""Ugravami""]",,"[""Bhaumik- kand ( Rhizome )""]","[""Cough, Cold, Bronchitis, Constipation, Fever, Eplipsy, Swelling""]","वचोग्रगन्धा षडग्रन्था गोलोमी शतपर्विका । क्षुद्रपत्रीच मङ्गल्याजटिलोग्राच लोमशा ॥ वचोग्रगन्धाकटुकातिक्तोष्णावान्तिवह्निकृत्। विबन्धाघ्मानशूलघ्नीशकृन्मूत्रविशोधिनी॥ अपस्मारकफोन्मादभूतजन्त्वनिलान्हरेत् ॥ ( भा. प्र. )","73. Vacha.docx","[""73__Vacha_1.jpg"",""73__Vacha_2.jpg"",""73__Vacha_3.jpg"",""73__Vacha_4.jpg"",""73__Vacha_5.jpg""]"